Votation populaire du 4 mars 2018;;;;;;;;;;;;
Initiative populaire ÆOui Ö la suppression des redevances radio et tÇlÇvision (suppression des redevances Billag)Ø;;;;;;;;;;;;
No votation:  6170;;;;;;;;;;;;
 ;;;;;;;;;;;;
No canton;Canton;No commune;Commune;Electeurs inscrits;Bulletins rentrÇs;Participation;Bulletins blancs;Bulletins nuls;Bulletins valables;Oui;Non;Oui en %
 ;;;;;;;;;;;;
 ;Suisse; ;;5 391 090;2 956 354;54.8;14 515;9 700;2 932 139;833 837;2 098 302;28.4
 ;;;;;;;;;;;;
1;ZÅrich;69;Wallisellen;9 028;4 857;53.8;20;1;4 836;1 569;3 267;32.4
1;ZÅrich;70;Wasterkingen;414;248;59.9;0;0;248;70;178;28.2
1;ZÅrich;71;Wil (ZH);1 003;614;61.2;2;1;611;184;427;30.1
1;ZÅrich;72;Winkel;3 237;1 979;61.1;9;0;1 970;689;1 281;35.0
1;ZÅrich;81;Bachs;431;269;62.4;2;0;267;90;177;33.7
1;ZÅrich;82;Boppelsen;932;661;70.9;2;0;659;181;478;27.5
1;ZÅrich;83;Buchs (ZH);3 793;1 942;51.2;4;0;1 938;706;1 232;36.4
1;ZÅrich;84;DÑllikon;2 380;1 236;51.9;8;1;1 227;462;765;37.7
1;ZÅrich;85;DÑnikon;1 116;634;56.8;3;0;631;223;408;35.3
1;ZÅrich;86;Dielsdorf;3 397;1 757;51.7;3;0;1 754;651;1 103;37.1
1;ZÅrich;87;HÅttikon;580;360;62.1;1;0;359;139;220;38.7
1;ZÅrich;88;Neerach;2 332;1 336;57.3;4;0;1 332;485;847;36.4
1;ZÅrich;89;Niederglatt;2 933;1 559;53.2;4;0;1 555;600;955;38.6
1;ZÅrich;90;Niederhasli;5 455;2 783;51.0;12;0;2 771;1 024;1 747;37.0
1;ZÅrich;91;Niederweningen;1 994;1 219;61.1;4;1;1 214;403;811;33.2
1;ZÅrich;92;Oberglatt;3 512;1 477;42.1;10;0;1 467;614;853;41.9
1;ZÅrich;93;Oberweningen;1 179;706;59.9;3;1;702;253;449;36.0
1;ZÅrich;94;Otelfingen;1 752;961;54.9;2;0;959;275;684;28.7
