@relation train_set_norm
@attribute Participation numeric
@attribute Residents numeric
@attribute Population.density.per.km.sq numeric
@attribute Foreign.nationals.rate numeric
@attribute Pop.0.19.years numeric
@attribute Pop.20.64.years numeric
@attribute Pop.65.years.or.over numeric
@attribute Crude.marriage.rate numeric
@attribute Crude.divorce.rate numeric
@attribute Crude.birth.rate numeric
@attribute Crude.mortality.rate numeric
@attribute Private.households numeric
@attribute Size.of.households.in.persons numeric
@attribute Total.surface.area.in.km.sq numeric
@attribute Settlement.and.urban.area.in.perc numeric
@attribute Agricultural.area.in.perc numeric
@attribute Wooded.area.in.perc numeric
@attribute Unproductive.area.in.perc numeric
@attribute Primary.sector.emp numeric
@attribute Secondary.sector.emp numeric
@attribute Tertiary.sector.emp numeric
@attribute Primary.sector.establ numeric
@attribute Secondary.sector.establ numeric
@attribute Tertiary.sector.establ numeric
@attribute Dwelling.vacancy.rate numeric
@attribute Social.assistance.rate numeric
@attribute FDP.PLR numeric
@attribute CVP numeric
@attribute SP numeric
@attribute SVP numeric
@attribute EVP.CSP numeric
@attribute GLP numeric
@attribute BDP numeric
@attribute PdA.Sol. numeric
@attribute GPS numeric
@attribute Small.right.wing.parties numeric
@attribute Other.parties numeric
@attribute under.the.Swiss.Criminal.Code numeric
@attribute under.the.Narcotics.Act..NarcA. numeric
@attribute under.the.Foreign.Nationals.Act..FNA. numeric
@attribute Language numeric
@attribute Yes.in.perc numeric
@data
0.593117408906883,0.486329552562575,0.585890610889911,0.219471947194719,0.580357142857143,0.70509977827051,0.195767195767196,0.235897435897436,0.0857142857142857,0.305993690851735,0.095,0.439026278124955,0.571428571428572,0.448796397361497,0.126903553299492,0.560043668122271,0.352337514253136,0.0547368421052632,0.0290572112930459,0.00476401570541975,0.0582138278548434,0.0505050505050505,0.325514822988667,0.44894888058085,0.177951388888889,0.0517241379310345,0.293563579277865,0.0242774566473988,0.347014925373134,0.34836527621195,0.179487179487179,0.415841584158416,0.0376266280752533,0.00623052959501558,0.177057356608479,0.143695014662757,0.0392156862745098,0.00384728352367379,0.000804297920212097,0,0,0.373887240356083
0.433198380566802,0.658396100744646,0.743315479343712,0.440594059405941,0.541666666666667,0.713968957871397,0.213403880070547,0.261538461538461,0.148571428571429,0.340694006309148,0.07625,0.624574973128365,0.523809523809524,0.48913538950358,0.311675126903553,0.437772925764192,0.321550741163056,0.00947368421052632,0.00719156190070317,0.066623720398642,0.132560466649781,0.0841750841750842,0.61576567502235,0.627372068332837,0.0711805555555556,0.25,0.222919937205651,0.0531791907514451,0.35634328358209,0.381059751972942,0.282051282051282,0.366336633663366,0.060781476121563,0.00623052959501558,0.154613466334165,0.0527859237536657,0.0418300653594771,0.0011762051301747,0.000393593149473796,0.000381072588091621,0,0.396142433234421
0.623481781376518,0.582603342634372,0.697964072278326,0.232673267326733,0.669642857142857,0.678492239467849,0.164021164021164,0.282051282051282,0.131428571428571,0.44794952681388,0.05,0.543404883988751,0.571428571428572,0.441666921365198,0.157360406091371,0.604803493449782,0.326111744583808,0.00421052631578947,0.0122215594127832,0.0156515982598827,0.0419336003170796,0.0471380471380471,0.431642114266529,0.513289794599331,0.0555555555555556,0.0517241379310345,0.259026687598116,0.0393063583815029,0.380597014925373,0.328072153325817,0.158974358974359,0.589108910891089,0.0549927641099855,0.00311526479750779,0.167082294264339,0.0557184750733138,0.0405228758169935,0.00107618208751789,0.000178810625197144,0.000108604794474579,0,0.351632047477745
0.576923076923077,0.541685609308773,0.588848506627225,0.224422442244224,0.619047619047619,0.656319290465632,0.211640211640212,0.164102564102564,0.148571428571429,0.302839116719243,0.06125,0.498230586516583,0.571428571428572,0.524335890293342,0.126903553299492,0.609170305676856,0.330672748004561,0.0273684210526316,0.0479243859688048,0.0242268130667019,0.0617228293347465,0.138047138047138,0.451205202758542,0.49186360515861,0.0815972222222222,0.0862068965517241,0.20094191522763,0.0335260115606936,0.361940298507463,0.393461104847802,0.133333333333333,0.430693069306931,0.0680173661360347,0.00623052959501558,0.199501246882793,0.0527859237536657,0.0522875816993464,0.00132269644116675,0.000753108395816382,0.000634864513647881,0,0.403560830860534
0.633603238866397,0.546700085029709,0.67225527889262,0.244224422442244,0.610119047619048,0.722838137472284,0.164021164021164,0.153846153846154,0.171428571428571,0.271293375394322,0.05875,0.50392650980309,0.571428571428572,0.422031833684197,0.201015228426396,0.504366812227074,0.378563283922463,0.00631578947368421,0.0143269494132271,0.13002565987689,0.0570824745831726,0.0404040404040404,0.41348134799186,0.479601984979989,0.142361111111111,0.0775862068965517,0.248037676609105,0.0450867052023121,0.419776119402985,0.33934611048478,0.184615384615385,0.475247524752475,0.0549927641099855,0.00623052959501558,0.162094763092269,0.0527859237536657,0.0287581699346405,0.00127929623991338,0.000308255981863188,0,0,0.344213649851632
0.538461538461539,0.422471552463496,0.515606368788489,0.222772277227723,0.6875,0.660753880266075,0.167548500881834,0.102564102564103,0.234285714285714,0.22397476340694,0.10125,0.371995473382731,0.571428571428572,0.447048455967536,0.083248730964467,0.764192139737991,0.234891676168757,0.0115789473684211,0.0834471248672432,0.0509279856445848,0.0628063444847806,0.0740740740740741,0.392280702980887,0.375655133086862,0.673611111111111,0.0344827586206897,0.172684458398744,0.0312138728323699,0.192164179104478,0.547914317925592,0.338461538461538,0.277227722772277,0.0738060781476122,0.00934579439252336,0.109725685785536,0.0821114369501466,0.0339869281045752,0.00657433709693408,0.0027969579154358,0,0,0.446587537091988
0.526315789473684,0.49011566249667,0.611303501454426,0.267326732673267,0.625,0.687361419068736,0.18342151675485,0.205128205128205,0.114285714285714,0.296529968454259,0.0675,0.441193048644717,0.619047619047619,0.422031833684197,0.181725888324873,0.679039301310044,0.19612314709236,0.0273684210526316,0.0498470601563385,0.0314602780884464,0.0482015837249297,0.0875420875420875,0.366813811900814,0.414612032183256,0.0390625,0.0517241379310345,0.180533751962323,0.0358381502890173,0.343283582089552,0.370913190529876,0.317948717948718,0.514851485148515,0.085383502170767,0,0.144638403990025,0.0997067448680352,0.0300653594771242,0.00363743024412323,0.000884000070521354,0,0,0.433234421364985
0.58502024291498,0.381562562668228,0.526636450006253,0.231023102310231,0.651785714285714,0.658536585365853,0.19047619047619,0.307692307692308,0.0857142857142857,0.28391167192429,0.075,0.327021665893265,0.619047619047619,0.377542408237703,0.0903553299492386,0.650655021834061,0.270239452679589,0.0810526315789474,0.115673799884326,0.0402312171405959,0.0228372276574216,0.0673400673400673,0.263899575009579,0.324911857467257,0.144965277777778,0,0.0769230769230769,0.0404624277456647,0.423507462686567,0.489289740698985,0.18974358974359,0.242574257425743,0.0506512301013025,0.0186915887850467,0.129675810473815,0.06158357771261,0.0718954248366013,0.00383106813828332,0,0,0,0.370919881305638
0.625506072874494,0.566390710593015,0.620352890255406,0.232673267326733,0.598214285714286,0.696230598669623,0.192239858906526,0.343589743589744,0.102857142857143,0.334384858044164,0.065,0.522461195602841,0.571428571428572,0.518191063038098,0.160406091370558,0.700873362445415,0.212086659064994,0.0126315789473684,0.0522794888992072,0.081788979490981,0.0526729343290054,0.158249158249158,0.508566123792219,0.49842631245096,0.104166666666667,0.103448275862069,0.207221350078493,0.0416184971098266,0.350746268656716,0.402480270574972,0.179487179487179,0.475247524752475,0.0636758321273517,0.00311526479750779,0.127182044887781,0.105571847507331,0.0326797385620915,0.00190803980439541,0.000432765762223541,0,0,0.369436201780415
0.45748987854251,0.575764926726903,0.688771970879881,0.311881188118812,0.630952380952381,0.671840354767184,0.192239858906526,0.21025641025641,0.114285714285714,0.32807570977918,0.05875,0.533389902874217,0.619047619047619,0.443484319376103,0.244670050761421,0.5382096069869,0.242873432155074,0.0547368421052632,0.0202963263649279,0.0424300043797336,0.0478498326433631,0.0673400673400673,0.539171727761735,0.508590040627758,0.0651041666666667,0.181034482758621,0.226059654631083,0.0751445086705202,0.315298507462687,0.408117249154453,0.246153846153846,0.366336633663366,0.0636758321273517,0.00311526479750779,0.0922693266832918,0.0879765395894428,0.0352941176470588,0.00136164782250669,0.000146191040686178,0.000194233660911676,0,0.372403560830861
